State,Area,Map URL,Store Name,Rating,Review Count,Store Status
Johor,Sri Gading,https://www.google.com/maps/place/KFC+Batu+Pahat+DT/data=!4m7!3m6!1s0x31da6d30423cc35d:0x73f94b25ad03d74d!8m2!3d1.8654213!4d102.9451496!16s%2Fg%2F11bw2hrmrd!19sChIJXcM8QjBt2jERTdcDrSVL-XM?authuser=0&hl=en&rclk=1,KFC Batu Pahat DT,3.9,(922),Operating
Johor,Sri Gading,https://www.google.com/maps/place/KFC+Batu+Pahat+1/data=!4m7!3m6!1s0x31d056ceaf1685cb:0x617d35f2a01eed3a!8m2!3d1.852165!4d102.925916!16s%2Fg%2F1tfrzl5c!19sChIJy4UWr85W0DEROu0eoPI1fWE?authuser=0&hl=en&rclk=1,KFC Batu Pahat 1,4.2,(961),Operating
Johor,Sri Gading,https://www.google.com/maps/place/KFC+Tongkang+Pechah/data=!4m7!3m6!1s0x31d05170efc917f5:0x501ed6a0b261fa27!8m2!3d1.9126752!4d102.952585!16s%2Fg%2F11j5jjvcbg!19sChIJ9RfJ73BR0DERJ_phsqDWHlA?authuser=0&hl=en&rclk=1,KFC Tongkang Pechah,3.7,(125),Operating
Johor,Batu Pahat,https://www.google.com/maps/place/KFC+Batu+Pahat+DT/data=!4m7!3m6!1s0x31da6d30423cc35d:0x73f94b25ad03d74d!8m2!3d1.8654213!4d102.9451496!16s%2Fg%2F11bw2hrmrd!19sChIJXcM8QjBt2jERTdcDrSVL-XM?authuser=0&hl=en&rclk=1,KFC Batu Pahat DT,3.9,(922),Operating
Johor,Batu Pahat,https://www.google.com/maps/place/KFC+Batu+Pahat+1/data=!4m7!3m6!1s0x31d056ceaf1685cb:0x617d35f2a01eed3a!8m2!3d1.852165!4d102.925916!16s%2Fg%2F1tfrzl5c!19sChIJy4UWr85W0DEROu0eoPI1fWE?authuser=0&hl=en&rclk=1,KFC Batu Pahat 1,4.2,(961),Operating
Johor,Batu Pahat,https://www.google.com/maps/place/KFC+Riverside+Business+Park/data=!4m7!3m6!1s0x31d057ba9a4c9dbd:0x51cca95a450bbb5f!8m2!3d1.8389178!4d102.9241259!16s%2Fg%2F11j0j1pr1n!19sChIJvZ1MmrpX0DERX7sLRVqpzFE?authuser=0&hl=en&rclk=1,KFC Riverside Business Park,4.3,(268),Operating
Johor,Batu Pahat,"https://www.google.com/maps/place/KFC+Bukit+Pasir,+BP3/data=!4m7!3m6!1s0x31d0512901647c4d:0x7274a96a63bb3e08!8m2!3d1.8652184!4d102.9392993!16s%2Fg%2F1thsnx8q!19sChIJTXxkASlR0DERCD67Y2qpdHI?authuser=0&hl=en&rclk=1","KFC Bukit Pasir, BP3",3.9,(599),Operating
Johor,Batu Pahat,https://www.google.com/maps/place/KFC+AEON+Big+Batu+Pahat/data=!4m7!3m6!1s0x31d050d41a9be351:0xc6eb9b72b7f95baf!8m2!3d1.865691!4d102.9482103!16s%2Fg%2F1hc48gyzb!19sChIJUeObGtRQ0DERr1v5t3Kb68Y?authuser=0&hl=en&rclk=1,KFC AEON Big Batu Pahat,4.2,(333),Operating
Johor,Batu Pahat,https://www.google.com/maps/place/KFC+Tongkang+Pechah/data=!4m7!3m6!1s0x31d05170efc917f5:0x501ed6a0b261fa27!8m2!3d1.9126752!4d102.952585!16s%2Fg%2F11j5jjvcbg!19sChIJ9RfJ73BR0DERJ_phsqDWHlA?authuser=0&hl=en&rclk=1,KFC Tongkang Pechah,3.7,(125),Operating
Johor,Simpang Renggam,"https://www.google.com/maps/search/KFC+near+Simpang Renggam,+Johor",KFC Shell Simpang Renggam DT,4.1,(826),Operating
